,First component,Second component,SOC,Label,Occupation Category
0,30.997187,-8.344984,11-1011.00,11,Management
1,27.546877,13.805788,11-1011.03,11,Management
2,22.974981,-4.8246317,11-1021.00,11,Management
3,23.289104,-15.630593,11-2011.00,11,Management
4,23.960089,-15.339916,11-2021.00,11,Management
5,24.24272,-10.050513,11-2022.00,11,Management
6,23.113474,-17.244814,11-2031.00,11,Management
7,22.352577,-5.467596,11-3011.00,11,Management
8,8.60084,37.84395,11-3021.00,11,Management
9,17.66143,-31.68296,11-3031.01,11,Management
10,18.71085,-32.706913,11-3031.02,11,Management
11,17.755863,8.616196,11-3051.00,11,Management
12,19.006445,9.238726,11-3051.01,11,Management
13,15.776787,9.269471,11-3051.02,11,Management
14,18.996933,7.426431,11-3051.03,11,Management
15,16.21735,8.930948,11-3051.04,11,Management
16,15.021435,9.030479,11-3051.06,11,Management
17,26.36742,-4.695216,11-3061.00,11,Management
18,24.81407,-2.5538208,11-3071.01,11,Management
19,23.037386,-2.2803576,11-3071.02,11,Management
20,25.213911,-2.9808505,11-3071.03,11,Management
21,20.332722,-31.937496,11-3111.00,11,Management
22,30.895288,-11.129866,11-3121.00,11,Management
23,32.721474,-10.507462,11-3131.00,11,Management
24,20.31954,4.4259896,11-9013.01,11,Management
25,20.547075,6.2165856,11-9013.02,11,Management
26,19.426971,5.8704166,11-9013.03,11,Management
27,24.654068,10.716061,11-9021.00,11,Management
28,28.188404,-9.845286,11-9031.00,11,Management
29,30.501106,-9.697837,11-9032.00,11,Management
30,31.65625,-10.739773,11-9033.00,11,Management
31,34.02479,-7.2087936,11-9039.01,11,Management
32,33.095497,-18.23386,11-9039.02,11,Management
33,25.45464,11.258445,11-9041.00,11,Management
34,14.50959,29.49654,11-9041.01,11,Management
35,20.081896,0.89068204,11-9051.00,11,Management
36,32.956947,-21.010624,11-9061.00,11,Management
37,24.059916,-6.9713764,11-9071.00,11,Management
38,26.801733,-8.932679,11-9081.00,11,Management
39,29.317818,-7.4533114,11-9111.00,11,Management
40,25.186588,14.495462,11-9121.00,11,Management
41,35.38439,2.3717778,11-9121.01,11,Management
42,24.8073,23.938566,11-9121.02,11,Management
43,22.670115,-4.020085,11-9131.00,11,Management
44,8.08548,-19.056787,11-9141.00,11,Management
45,29.897636,-10.61428,11-9151.00,11,Management
46,13.842169,-5.643854,11-9161.00,11,Management
47,35.03862,3.6909568,11-9199.01,11,Management
48,24.444607,-28.183876,11-9199.02,11,Management
49,16.160835,-30.51538,11-9199.03,11,Management
50,26.185177,-3.0514932,11-9199.04,11,Management
51,14.265437,-4.2954445,11-9199.07,11,Management
52,15.172331,-4.5676293,11-9199.08,11,Management
53,16.47266,7.623042,11-9199.09,11,Management
54,25.522484,12.374271,11-9199.10,11,Management
55,25.478903,13.485586,11-9199.11,11,Management
56,21.238455,-19.218262,13-1011.00,13,Business and Financial Operations
57,24.214144,-0.21429837,13-1021.00,13,Business and Financial Operations
58,11.036249,-24.614136,13-1022.00,13,Business and Financial Operations
59,25.693874,-4.632457,13-1023.00,13,Business and Financial Operations
60,6.767948,-26.852818,13-1031.01,13,Business and Financial Operations
61,6.5244265,-26.322409,13-1031.02,13,Business and Financial Operations
62,-10.131125,-27.6885,13-1032.00,13,Business and Financial Operations
63,14.544047,18.753302,13-1041.01,13,Business and Financial Operations
64,5.4005523,-6.967714,13-1041.02,13,Business and Financial Operations
65,25.14898,-31.201664,13-1041.03,13,Business and Financial Operations
66,11.199141,20.056913,13-1041.04,13,Business and Financial Operations
67,7.166208,-0.48778537,13-1041.06,13,Business and Financial Operations
68,35.046406,3.7820008,13-1041.07,13,Business and Financial Operations
69,16.669119,-10.204263,13-1051.00,13,Business and Financial Operations
70,5.718287,-36.702423,13-1071.00,13,Business and Financial Operations
71,-21.463022,-26.663233,13-1074.00,13,Business and Financial Operations
72,25.350407,-29.763262,13-1075.00,13,Business and Financial Operations
73,25.861002,-2.1276927,13-1081.00,13,Business and Financial Operations
74,28.163483,26.90687,13-1081.01,13,Business and Financial Operations
75,28.630022,-1.7471639,13-1081.02,13,Business and Financial Operations
76,30.344416,-14.350944,13-1111.00,13,Business and Financial Operations
77,25.398262,-11.926862,13-1121.00,13,Business and Financial Operations
78,22.998234,-18.358404,13-1131.00,13,Business and Financial Operations
79,21.369423,-30.87447,13-1141.00,13,Business and Financial Operations
80,33.69366,-10.831228,13-1151.00,13,Business and Financial Operations
81,17.287003,-26.292849,13-1161.00,13,Business and Financial Operations
82,12.216439,26.427935,13-1199.01,13,Business and Financial Operations
83,5.9195304,41.15656,13-1199.02,13,Business and Financial Operations
84,1.8376088,-24.89565,13-1199.03,13,Business and Financial Operations
85,28.725489,-3.4719982,13-1199.04,13,Business and Financial Operations
86,27.945705,14.685918,13-1199.05,13,Business and Financial Operations
87,11.659326,-23.899008,13-1199.06,13,Business and Financial Operations
88,13.784943,-33.013657,13-2011.01,13,Business and Financial Operations
89,16.58197,-31.09044,13-2011.02,13,Business and Financial Operations
90,5.825854,-24.831438,13-2021.01,13,Business and Financial Operations
91,5.5622835,-24.34972,13-2021.02,13,Business and Financial Operations
92,14.493163,-32.780624,13-2031.00,13,Business and Financial Operations
93,11.893854,-33.19262,13-2041.00,13,Business and Financial Operations
94,15.991566,-27.828701,13-2051.00,13,Business and Financial Operations
95,13.775273,-30.039331,13-2052.00,13,Business and Financial Operations
96,8.380841,-29.57135,13-2053.00,13,Business and Financial Operations
97,16.908491,-33.15404,13-2061.00,13,Business and Financial Operations
98,10.714526,-30.849323,13-2071.00,13,Business and Financial Operations
99,9.808539,-31.573814,13-2071.01,13,Business and Financial Operations
100,9.055471,-30.161957,13-2072.00,13,Business and Financial Operations
101,7.7754745,-31.293085,13-2081.00,13,Business and Financial Operations
102,6.6564384,-31.909126,13-2082.00,13,Business and Financial Operations
103,18.009392,-28.361506,13-2099.01,13,Business and Financial Operations
104,28.785389,-0.9042513,13-2099.02,13,Business and Financial Operations
105,23.673695,-28.86055,13-2099.04,13,Business and Financial Operations
106,7.7880855,36.547005,15-1111.00,15,Computers and Math
107,4.9808683,35.21641,15-1121.00,15,Computers and Math
108,36.24901,-3.6677608,15-1121.01,15,Computers and Math
109,2.533672,36.24144,15-1122.00,15,Computers and Math
110,4.4070992,32.377552,15-1131.00,15,Computers and Math
111,6.2077236,34.702248,15-1132.00,15,Computers and Math
112,4.7957044,29.601507,15-1133.00,15,Computers and Math
113,3.739197,33.33157,15-1134.00,15,Computers and Math
114,3.8253193,36.28719,15-1141.00,15,Computers and Math
115,5.2606916,37.84412,15-1142.00,15,Computers and Math
116,6.216874,38.26137,15-1143.00,15,Computers and Math
117,4.5014367,40.06518,15-1143.01,15,Computers and Math
118,-0.7723978,37.424847,15-1151.00,15,Computers and Math
119,-1.8551091,37.519844,15-1152.00,15,Computers and Math
120,4.512218,34.136948,15-1199.01,15,Computers and Math
121,7.132751,36.80531,15-1199.02,15,Computers and Math
122,2.8162568,34.848007,15-1199.03,15,Computers and Math
123,24.558092,18.56632,15-1199.04,15,Computers and Math
124,2.2985606,25.110552,15-1199.05,15,Computers and Math
125,5.561365,33.89018,15-1199.06,15,Computers and Math
126,5.627843,32.96988,15-1199.07,15,Computers and Math
127,15.776089,-25.688663,15-1199.08,15,Computers and Math
128,28.050879,-4.322674,15-1199.09,15,Computers and Math
129,14.9307165,-24.947798,15-1199.10,15,Computers and Math
130,2.397544,32.212326,15-1199.11,15,Computers and Math
131,1.5503902,35.065617,15-1199.12,15,Computers and Math
132,17.70323,-29.923132,15-2011.00,15,Computers and Math
133,40.034264,8.311302,15-2021.00,15,Computers and Math
134,39.427704,8.150024,15-2031.00,15,Computers and Math
135,41.49835,8.81268,15-2041.00,15,Computers and Math
136,41.95149,9.299858,15-2041.01,15,Computers and Math
137,42.53791,10.9145155,15-2041.02,15,Computers and Math
138,28.366583,10.662985,17-1011.00,17,Architechture and Engineering
139,28.926321,10.712979,17-1012.00,17,Architechture and Engineering
140,3.6033568,25.563814,17-1021.00,17,Architechture and Engineering
141,11.045709,15.982326,17-1022.00,17,Architechture and Engineering
142,11.196427,16.482826,17-1022.01,17,Architechture and Engineering
143,23.947367,30.28454,17-2011.00,17,Architechture and Engineering
144,20.045498,27.036331,17-2021.00,17,Architechture and Engineering
145,20.793016,34.079845,17-2031.00,17,Architechture and Engineering
146,21.399965,29.821121,17-2041.00,17,Architechture and Engineering
147,27.0855,24.627926,17-2051.00,17,Architechture and Engineering
148,27.63714,24.911062,17-2051.01,17,Architechture and Engineering
149,15.58131,35.348583,17-2061.00,17,Architechture and Engineering
150,16.076178,31.745144,17-2071.00,17,Architechture and Engineering
151,17.948711,34.910824,17-2072.00,17,Architechture and Engineering
152,5.3679867,39.6653,17-2072.01,17,Architechture and Engineering
153,24.714972,23.695223,17-2081.00,17,Architechture and Engineering
154,25.65921,25.986862,17-2081.01,17,Architechture and Engineering
155,13.881102,21.801538,17-2111.01,17,Architechture and Engineering
156,24.5897,26.312902,17-2111.02,17,Architechture and Engineering
157,15.61833,21.526445,17-2111.03,17,Architechture and Engineering
158,17.042892,28.392427,17-2112.00,17,Architechture and Engineering
159,31.027622,21.42128,17-2112.01,17,Architechture and Engineering
160,22.219723,36.02079,17-2121.01,17,Architechture and Engineering
161,24.128696,29.145864,17-2121.02,17,Architechture and Engineering
162,19.925396,29.953312,17-2131.00,17,Architechture and Engineering
163,19.215296,33.61442,17-2141.00,17,Architechture and Engineering
164,17.023981,33.294357,17-2141.01,17,Architechture and Engineering
165,23.203547,28.47831,17-2141.02,17,Architechture and Engineering
166,27.086956,27.055325,17-2151.00,17,Architechture and Engineering
167,22.110744,30.590496,17-2161.00,17,Architechture and Engineering
168,26.448984,27.72164,17-2171.00,17,Architechture and Engineering
169,19.890667,28.113575,17-2199.01,17,Architechture and Engineering
170,17.304659,28.645235,17-2199.02,17,Architechture and Engineering
171,24.767313,25.523874,17-2199.03,17,Architechture and Engineering
172,21.286709,36.331684,17-2199.04,17,Architechture and Engineering
173,17.783731,32.14407,17-2199.05,17,Architechture and Engineering
174,18.03625,34.01517,17-2199.06,17,Architechture and Engineering
175,16.526062,34.95876,17-2199.07,17,Architechture and Engineering
176,19.915495,36.031548,17-2199.08,17,Architechture and Engineering
177,19.873228,31.389978,17-2199.09,17,Architechture and Engineering
178,22.86619,26.58552,17-2199.10,17,Architechture and Engineering
179,12.784316,27.468834,17-2199.11,17,Architechture and Engineering
180,7.910507,23.70446,17-3011.01,17,Architechture and Engineering
181,5.645632,25.021162,17-3011.02,17,Architechture and Engineering
182,5.8111334,27.608154,17-3012.01,17,Architechture and Engineering
183,6.1344237,24.204657,17-3012.02,17,Architechture and Engineering
184,6.555475,25.873344,17-3013.00,17,Architechture and Engineering
185,-8.661973,29.300028,17-3021.00,17,Architechture and Engineering
186,7.162147,22.773483,17-3022.00,17,Architechture and Engineering
187,-9.953145,30.05893,17-3023.01,17,Architechture and Engineering
188,-10.404279,29.104279,17-3023.03,17,Architechture and Engineering
189,-13.516778,25.467468,17-3024.00,17,Architechture and Engineering
190,-12.035325,31.181694,17-3024.01,17,Architechture and Engineering
191,-6.5606723,24.051075,17-3025.00,17,Architechture and Engineering
192,14.764616,31.110895,17-3026.00,17,Architechture and Engineering
193,-8.496665,26.56145,17-3027.00,17,Architechture and Engineering
194,-13.324767,29.512272,17-3027.01,17,Architechture and Engineering
195,-7.55246,24.615494,17-3029.01,17,Architechture and Engineering
196,13.241218,34.637928,17-3029.02,17,Architechture and Engineering
197,-9.669867,28.41826,17-3029.03,17,Architechture and Engineering
198,-11.363983,33.18757,17-3029.04,17,Architechture and Engineering
199,14.0097475,33.248974,17-3029.05,17,Architechture and Engineering
200,20.776072,36.333355,17-3029.06,17,Architechture and Engineering
201,-9.018284,27.410059,17-3029.07,17,Architechture and Engineering
202,-11.061869,29.322548,17-3029.08,17,Architechture and Engineering
203,-14.245473,28.641224,17-3029.09,17,Architechture and Engineering
204,12.581753,30.87814,17-3029.11,17,Architechture and Engineering
205,-11.520619,27.533182,17-3029.12,17,Architechture and Engineering
206,9.298453,15.49087,17-3031.01,17,Architechture and Engineering
207,3.2728126,25.054382,17-3031.02,17,Architechture and Engineering
208,19.449202,21.922386,19-1011.00,19,"Life, Physical, and Social Science"
209,19.100767,23.0952,19-1012.00,19,"Life, Physical, and Social Science"
210,19.732174,20.878956,19-1013.00,19,"Life, Physical, and Social Science"
211,20.220396,18.27747,19-1020.01,19,"Life, Physical, and Social Science"
212,46.003086,15.6719475,19-1021.00,19,"Life, Physical, and Social Science"
213,47.453594,13.940758,19-1022.00,19,"Life, Physical, and Social Science"
214,19.33741,17.106861,19-1023.00,19,"Life, Physical, and Social Science"
215,45.952618,12.936106,19-1029.01,19,"Life, Physical, and Social Science"
216,46.52348,15.075594,19-1029.02,19,"Life, Physical, and Social Science"
217,48.146587,11.81183,19-1029.03,19,"Life, Physical, and Social Science"
218,17.495085,17.239307,19-1031.01,19,"Life, Physical, and Social Science"
219,16.891539,16.605946,19-1031.02,19,"Life, Physical, and Social Science"
220,41.878616,-5.007153,19-1031.03,19,"Life, Physical, and Social Science"
221,18.375135,15.577982,19-1032.00,19,"Life, Physical, and Social Science"
222,48.138447,10.065822,19-1041.00,19,"Life, Physical, and Social Science"
223,48.18362,12.629105,19-1042.00,19,"Life, Physical, and Social Science"
224,39.0465,22.113506,19-2011.00,19,"Life, Physical, and Social Science"
225,38.915005,22.70502,19-2012.00,19,"Life, Physical, and Social Science"
226,25.333332,19.205309,19-2021.00,19,"Life, Physical, and Social Science"
227,13.2867365,29.956959,19-2031.00,19,"Life, Physical, and Social Science"
228,19.13929,30.055975,19-2032.00,19,"Life, Physical, and Social Science"
229,19.276136,18.451939,19-2041.00,19,"Life, Physical, and Social Science"
230,29.310297,16.643347,19-2041.01,19,"Life, Physical, and Social Science"
231,18.463596,17.13224,19-2041.02,19,"Life, Physical, and Social Science"
232,27.973532,16.144232,19-2041.03,19,"Life, Physical, and Social Science"
233,22.418098,18.905746,19-2042.00,19,"Life, Physical, and Social Science"
234,22.017477,19.458431,19-2043.00,19,"Life, Physical, and Social Science"
235,24.263132,18.922308,19-2099.01,19,"Life, Physical, and Social Science"
236,19.95882,-27.213686,19-3011.00,19,"Life, Physical, and Social Science"
237,19.973366,-27.748888,19-3011.01,19,"Life, Physical, and Social Science"
238,17.327429,-25.963037,19-3022.00,19,"Life, Physical, and Social Science"
239,48.789715,-27.469446,19-3031.01,19,"Life, Physical, and Social Science"
240,51.29467,-26.127028,19-3031.02,19,"Life, Physical, and Social Science"
241,50.4494,-26.502104,19-3031.03,19,"Life, Physical, and Social Science"
242,31.259119,-13.153816,19-3032.00,19,"Life, Physical, and Social Science"
243,62.3036,-0.09093673,19-3039.01,19,"Life, Physical, and Social Science"
244,53.525623,-12.716547,19-3041.00,19,"Life, Physical, and Social Science"
245,29.590904,13.012098,19-3051.00,19,"Life, Physical, and Social Science"
246,56.0969,-14.701602,19-3091.01,19,"Life, Physical, and Social Science"
247,44.81616,-8.589078,19-3091.02,19,"Life, Physical, and Social Science"
248,56.65153,-13.451645,19-3092.00,19,"Life, Physical, and Social Science"
249,41.96239,-9.975177,19-3093.00,19,"Life, Physical, and Social Science"
250,54.136692,-13.251467,19-3094.00,19,"Life, Physical, and Social Science"
251,30.254469,13.75836,19-3099.01,19,"Life, Physical, and Social Science"
252,10.662388,13.330364,19-4011.01,19,"Life, Physical, and Social Science"
253,-7.795434,9.167232,19-4011.02,19,"Life, Physical, and Social Science"
254,-10.304467,5.327803,19-4021.00,19,"Life, Physical, and Social Science"
255,-10.812736,6.8126554,19-4031.00,19,"Life, Physical, and Social Science"
256,5.099982,22.712358,19-4041.01,19,"Life, Physical, and Social Science"
257,-7.6013837,22.170994,19-4041.02,19,"Life, Physical, and Social Science"
258,-15.328858,16.42071,19-4051.01,19,"Life, Physical, and Social Science"
259,-10.570184,13.785094,19-4051.02,19,"Life, Physical, and Social Science"
260,16.909147,-23.056393,19-4061.00,19,"Life, Physical, and Social Science"
261,4.7617807,-22.721952,19-4061.01,19,"Life, Physical, and Social Science"
262,14.538723,16.859776,19-4091.00,19,"Life, Physical, and Social Science"
263,12.842895,18.267662,19-4092.00,19,"Life, Physical, and Social Science"
264,9.222472,13.174608,19-4093.00,19,"Life, Physical, and Social Science"
265,-7.772057,9.406121,19-4099.01,19,"Life, Physical, and Social Science"
266,14.455014,15.690667,19-4099.02,19,"Life, Physical, and Social Science"
267,2.3357048,25.982466,19-4099.03,19,"Life, Physical, and Social Science"
268,49.47779,-23.304453,21-1011.00,21,Community and Social Services
269,47.51084,-26.323595,21-1012.00,21,Community and Social Services
270,49.687866,-26.37234,21-1013.00,21,Community and Social Services
271,50.053978,-25.056145,21-1014.00,21,Community and Social Services
272,48.05759,-23.157524,21-1015.00,21,Community and Social Services
273,47.51072,-24.756134,21-1021.00,21,Community and Social Services
274,48.888912,-24.350843,21-1022.00,21,Community and Social Services
275,48.873764,-24.984116,21-1023.00,21,Community and Social Services
276,48.72363,-7.6539793,21-1091.00,21,Community and Social Services
277,40.41597,-25.237518,21-1092.00,21,Community and Social Services
278,39.376144,-24.61601,21-1093.00,21,Community and Social Services
279,36.625275,-21.518843,21-1094.00,21,Community and Social Services
280,36.438488,-13.183108,21-2011.00,21,Community and Social Services
281,35.813477,-13.34457,21-2021.00,21,Community and Social Services
282,26.412352,-30.018911,23-1011.00,23,Legal
283,2.5237947,-41.160336,23-1012.00,23,Legal
284,27.224537,-31.902678,23-1021.00,23,Legal
285,25.8948,-32.50005,23-1022.00,23,Legal
286,27.603905,-31.760025,23-1023.00,23,Legal
287,1.854011,-39.886055,23-2011.00,23,Legal
288,-6.1439056,-40.827934,23-2091.00,23,Legal
289,-0.748109,-41.086765,23-2093.00,23,Legal
290,47.48654,-11.039566,25-1011.00,25,"Education, Training, and Library"
291,37.500057,-4.380119,25-1021.00,25,"Education, Training, and Library"
292,42.21169,7.0623274,25-1022.00,25,"Education, Training, and Library"
293,43.93856,-12.842037,25-1031.00,25,"Education, Training, and Library"
294,38.26959,19.805496,25-1032.00,25,"Education, Training, and Library"
295,36.95902,14.361103,25-1041.00,25,"Education, Training, and Library"
296,39.76935,16.466103,25-1042.00,25,"Education, Training, and Library"
297,38.506775,15.091153,25-1043.00,25,"Education, Training, and Library"
298,38.861927,16.463108,25-1051.00,25,"Education, Training, and Library"
299,39.229748,17.601494,25-1052.00,25,"Education, Training, and Library"
300,38.55776,16.050722,25-1053.00,25,"Education, Training, and Library"
301,39.24792,18.587486,25-1054.00,25,"Education, Training, and Library"
302,55.60081,-15.421586,25-1061.00,25,"Education, Training, and Library"
303,53.276657,-15.581034,25-1062.00,25,"Education, Training, and Library"
304,20.674753,-26.357876,25-1063.00,25,"Education, Training, and Library"
305,56.122696,-12.954102,25-1064.00,25,"Education, Training, and Library"
306,53.4923,-14.105088,25-1065.00,25,"Education, Training, and Library"
307,51.377323,-10.685401,25-1066.00,25,"Education, Training, and Library"
308,52.096687,-13.110598,25-1067.00,25,"Education, Training, and Library"
309,49.88746,-5.3252344,25-1071.00,25,"Education, Training, and Library"
310,50.9207,-4.3428445,25-1072.00,25,"Education, Training, and Library"
311,50.692295,-11.597071,25-1081.00,25,"Education, Training, and Library"
312,50.118347,-12.275034,25-1082.00,25,"Education, Training, and Library"
313,48.523056,-12.402025,25-1111.00,25,"Education, Training, and Library"
314,49.43708,-13.406712,25-1112.00,25,"Education, Training, and Library"
315,51.88297,-11.305968,25-1113.00,25,"Education, Training, and Library"
316,42.669632,-13.396861,25-1121.00,25,"Education, Training, and Library"
317,50.968727,-14.360524,25-1122.00,25,"Education, Training, and Library"
318,51.316372,-15.195602,25-1123.00,25,"Education, Training, and Library"
319,53.332943,-17.031816,25-1124.00,25,"Education, Training, and Library"
320,52.749226,-14.563116,25-1125.00,25,"Education, Training, and Library"
321,52.254227,-15.946741,25-1126.00,25,"Education, Training, and Library"
322,-14.320325,-37.781292,25-1191.00,25,"Education, Training, and Library"
323,48.845963,-11.167564,25-1192.00,25,"Education, Training, and Library"
324,49.40994,-6.142597,25-1193.00,25,"Education, Training, and Library"
325,40.69611,-2.871823,25-1194.00,25,"Education, Training, and Library"
326,40.039967,-19.394333,25-2011.00,25,"Education, Training, and Library"
327,43.322777,-17.474342,25-2012.00,25,"Education, Training, and Library"
328,44.168476,-17.154535,25-2021.00,25,"Education, Training, and Library"
329,44.32576,-15.799146,25-2022.00,25,"Education, Training, and Library"
330,40.672237,-4.0760736,25-2023.00,25,"Education, Training, and Library"
331,44.280678,-15.057491,25-2031.00,25,"Education, Training, and Library"
332,39.990265,-4.4038157,25-2032.00,25,"Education, Training, and Library"
333,42.91072,-20.112825,25-2051.00,25,"Education, Training, and Library"
334,44.36824,-18.482515,25-2052.00,25,"Education, Training, and Library"
335,45.057636,-17.351227,25-2053.00,25,"Education, Training, and Library"
336,43.316257,-15.537513,25-2054.00,25,"Education, Training, and Library"
337,41.77722,-20.565195,25-2059.01,25,"Education, Training, and Library"
338,46.85011,-17.972956,25-3011.00,25,"Education, Training, and Library"
339,-14.898248,-36.941055,25-3021.00,25,"Education, Training, and Library"
340,47.00054,-17.588879,25-3099.02,25,"Education, Training, and Library"
341,41.310596,-9.028253,25-4011.00,25,"Education, Training, and Library"
342,43.915485,-8.825569,25-4012.00,25,"Education, Training, and Library"
343,-17.602686,-5.179309,25-4013.00,25,"Education, Training, and Library"
344,40.968727,-8.775683,25-4021.00,25,"Education, Training, and Library"
345,-12.27438,-33.983337,25-4031.00,25,"Education, Training, and Library"
346,-5.5750484,39.871864,25-9011.00,25,"Education, Training, and Library"
347,35.935276,13.4731245,25-9021.00,25,"Education, Training, and Library"
348,38.609474,-12.837059,25-9031.00,25,"Education, Training, and Library"
349,34.483562,-7.0337315,25-9031.01,25,"Education, Training, and Library"
350,-15.494515,-36.467884,25-9041.00,25,"Education, Training, and Library"
351,22.11008,-14.183982,27-1011.00,27,"Arts, Design, Entertainment, and Media"
352,-27.121742,-5.8761415,27-1012.00,27,"Arts, Design, Entertainment, and Media"
353,-26.044388,-6.1343455,27-1013.00,27,"Arts, Design, Entertainment, and Media"
354,12.850698,-14.410787,27-1014.00,27,"Arts, Design, Entertainment, and Media"
355,17.121593,30.675358,27-1021.00,27,"Arts, Design, Entertainment, and Media"
356,21.347775,-12.609341,27-1022.00,27,"Arts, Design, Entertainment, and Media"
357,-18.174744,-8.769431,27-1023.00,27,"Arts, Design, Entertainment, and Media"
358,13.013345,-15.267703,27-1024.00,27,"Arts, Design, Entertainment, and Media"
359,29.542814,9.848841,27-1025.00,27,"Arts, Design, Entertainment, and Media"
360,-18.638363,-9.053038,27-1026.00,27,"Arts, Design, Entertainment, and Media"
361,29.563158,8.540365,27-1027.00,27,"Arts, Design, Entertainment, and Media"
362,-19.253923,-37.16432,27-2011.00,27,"Arts, Design, Entertainment, and Media"
363,23.656378,-13.501359,27-2012.01,27,"Arts, Design, Entertainment, and Media"
364,20.300686,-14.200113,27-2012.02,27,"Arts, Design, Entertainment, and Media"
365,24.393568,-13.320778,27-2012.03,27,"Arts, Design, Entertainment, and Media"
